PacketCounter,SampleTimeFine,_Quat_W,_Quat_X,_Quat_Y,_Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
1294,1156159300,0.156040803,0.391238421,-0.073040813,0.904018342,7.339683533,1.503325701,0.61528945,-29.4635334,-247.9071503,-13.53355122,-1.113769531,-0.328125,-0.548828125, 
1295,1156167633,0.15655829,0.407307446,-0.077840939,0.896399081,7.728288174,0.985715806,0.899589062,-34.3590889,-251.2611389,-13.94477177,-1.143066406,-0.34765625,-0.532714844, 
1296,1156175966,0.157131597,0.423535317,-0.082886055,0.888289154,8.177973747,0.496302158,1.049476385,-37.9151001,-256.2076416,-14.47679234,-1.158203125,-0.369628906,-0.486816406, 
1297,1156184299,0.157734364,0.439943492,-0.087928191,0.879680932,8.760692596,-0.220898584,1.076873064,-38.18795395,-261.5018311,-16.14690399,-1.197753906,-0.395019531,-0.469726563, 
1298,1156192632,0.15831551,0.456540853,-0.092653796,0.870587349,9.589438438,-0.983311236,1.182666898,-34.4595871,-265.8339844,-19.06934738,-1.201171875,-0.414550781,-0.415039063, 
1299,1156200965,0.158746213,0.473167449,-0.096664466,0.861143768,10.56776524,-1.798902869,1.331330776,-25.28248024,-267.2498474,-22.57001495,-1.241699219,-0.448730469,-0.388671875, 
1300,1156209298,0.158916429,0.489775151,-0.099629596,0.851433992,11.25707817,-2.203609467,1.568405509,-11.65014267,-266.5835571,-26.82707787,-1.243652344,-0.479980469,-0.328125, 
1301,1156217631,0.158766821,0.506354868,-0.101463407,0.8414886,11.93389893,-2.412709236,1.859280229,3.41660428,-266.0462341,-31.19475555,-1.277832031,-0.51171875,-0.29296875, 
1302,1156225964,0.158161581,0.522948444,-0.102143802,0.831310272,12.46213436,-2.247797966,2.105472803,19.60129547,-265.7018738,-34.46027374,-1.268554688,-0.547363281,-0.226074219, 
1303,1156234297,0.157022849,0.539580286,-0.101778023,0.820876598,13.16291046,-1.948014021,2.394645214,35.16413498,-266.6948242,-36.51543427,-1.295898438,-0.582519531,-0.17578125, 
1304,1156242630,0.155340761,0.556194901,-0.100455023,0.81020093,13.98868275,-1.134085536,2.801469088,49.58924866,-266.7406616,-37.97267151,-1.274902344,-0.621582031,-0.09765625, 
1305,1156250963,0.153429925,0.572639108,-0.098520026,0.799273372,14.64994431,-0.126292974,3.243583441,57.48326111,-266.0269165,-40.42021179,-1.293457031,-0.659179688,-0.036621094, 
1306,1156259296,0.151551262,0.588805437,-0.096213952,0.788088381,15.3605051,0.52909261,3.741010189,60.33839035,-263.9219971,-43.85324478,-1.258789063,-0.687011719,0.060058594, 
1307,1156267629,0.149854392,0.60453546,-0.093732409,0.776720583,15.80628586,0.771626592,4.395619392,59.65208435,-260.3156738,-47.05555725,-1.263183594,-0.722167969,0.119628906, 
1308,1156275962,0.148260072,0.619819999,-0.091333218,0.765179932,16.34645462,1.046486497,5.172031879,56.74462128,-256.7903442,-47.2434082,-1.210449219,-0.751464844,0.211425781, 
1309,1156284295,0.146880507,0.634402692,-0.08938317,0.75363791,17.14846802,0.908585131,6.026607037,48.78722382,-250.3034363,-44.80066299,-1.203125,-0.770996094,0.269042969, 
1310,1156292628,0.145606056,0.648111641,-0.087991484,0.742298961,17.51276016,0.208515987,6.768913746,40.52906036,-240.2424316,-39.53295898,-1.131835938,-0.784179688,0.343261719, 
1311,1156300961,0.144372299,0.661004424,-0.087209597,0.731180131,17.43313217,-0.393966317,7.389238358,32.61227036,-231.3497314,-33.08665466,-1.117675781,-0.801269531,0.395996094, 
1312,1156309294,0.143057182,0.673293471,-0.087081954,0.720157802,17.12208176,-0.818143547,7.682927608,25.65730858,-225.5839996,-25.40190887,-1.045410156,-0.804199219,0.451660156, 
1313,1156317627,0.141736597,0.685192347,-0.087569997,0.709051311,17.31567001,-0.677986801,7.6241045,18.77429581,-223.9295654,-19.34852791,-1.034667969,-0.8125,0.488769531, 
1314,1156325960,0.140747175,0.696533978,-0.088651285,0.697976828,17.81180191,0.420173317,8.577014923,8.792421341,-218.7627563,-16.25589561,-0.962402344,-0.811523438,0.538085938, 
1315,1156334293,0.140683338,0.707061768,-0.090607755,0.687067807,17.81187248,1.002394557,9.979729652,-9.817732811,-210.121582,-15.44278812,-0.956542969,-0.814453125,0.5625, 
1316,1156342626,0.141533375,0.716597497,-0.093560845,0.676537335,17.49272919,1.493406534,11.44169998,-29.58953094,-197.689621,-12.41803932,-0.889160156,-0.811523438,0.593261719, 
