PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
2959,1235439462,0.073318139,0.428493857,-0.033629864,0.899937212,20.18016624,5.847466946,-0.449426025,-43.67708588,215.8201294,-65.198349,-0.845214844,0.166503906,-0.5234375
2960,1235447795,0.081156828,0.412938982,-0.034352377,0.90648514,19.11078072,6.878031731,-1.137226343,-66.5100708,233.284317,-79.80969238,-0.840332031,0.15625,-0.546875
2961,1235456128,0.090633392,0.396488339,-0.036908131,0.912809372,19.6148243,6.306400776,-1.571694374,-99.74576569,242.0513611,-89.679245,-0.821289063,0.149414063,-0.551269531
2962,1235464461,0.101000562,0.378446817,-0.041064452,0.919179678,19.84243011,3.818381786,-1.512979507,-126.6822128,260.5926208,-91.23432159,-0.813476563,0.142578125,-0.582519531
2963,1235472794,0.111237414,0.358629316,-0.046701752,0.925651371,17.6929245,0.003145615,2.857126713,-147.1694031,281.6771545,-80.73543549,-0.798339844,0.133789063,-0.592773438
2964,1235481127,0.120106116,0.33736679,-0.053199831,0.932163298,16.18805885,-8.438347816,12.66870975,-153.5331726,297.8445129,-58.08489227,-0.786132813,0.129394531,-0.630371094
2965,1235489460,0.125196263,0.31646502,-0.055607285,0.9386608,19.77143097,-6.724021435,6.887188435,-83.03884888,297.4549866,-28.92136765,-0.763671875,0.119628906,-0.638671875
2966,1235497793,0.124411225,0.294089973,-0.054123197,0.94609946,15.30358505,-0.575097382,1.496272683,-8.98250103,322.4663391,32.7430191,-0.747558594,0.112792969,-0.672363281
2967,1235506126,0.121042982,0.273534387,-0.052671324,0.952761114,7.753375053,5.474505901,-0.896472991,3.576365471,294.0258789,63.76954269,-0.729492188,0.094238281,-0.680664063
2968,1235514459,0.118851133,0.255331546,-0.054246981,0.957986414,9.201331139,6.750954628,-2.447815418,-37.6379509,253.2424011,55.67923355,-0.711914063,0.0859375,-0.710449219
2969,1235522792,0.116944835,0.237006322,-0.05770174,0.96271646,11.55100918,3.907919884,-3.136878967,-63.98861313,250.6738739,57.78040314,-0.703613281,0.080078125,-0.716308594
2970,1235531125,0.114198767,0.217812657,-0.060316216,0.967408299,9.699893951,0.789888799,-3.034169197,-51.53108597,262.3193054,66.80389404,-0.689941406,0.080566406,-0.74609375
2971,1235539458,0.11125727,0.199402884,-0.061502255,0.971636951,7.771863937,0.145405188,-2.026187181,-31.15294456,253.0626984,63.73033142,-0.674316406,0.070800781,-0.754882813
